time,latitude,longitude
2021-07-15 00:05:09+00:00,37.598432,-121.897779
2021-07-15 00:05:10+00:00,37.598434,-121.897792
2021-07-15 00:05:11+00:00,37.598433,-121.897806
2021-07-15 00:05:12+00:00,37.598434,-121.897818
2021-07-15 00:05:13+00:00,37.598435,-121.897831
2021-07-15 00:05:14+00:00,37.598438,-121.897846
2021-07-15 00:05:15+00:00,37.59844,-121.89786
2021-07-15 00:05:16+00:00,37.598439,-121.897871
2021-07-15 00:05:17+00:00,37.598441,-121.897883
2021-07-15 00:05:18+00:00,37.598439,-121.897894
2021-07-15 00:05:19+00:00,37.598442,-121.897901
2021-07-15 00:05:20+00:00,37.598443,-121.89791
2021-07-15 00:05:21+00:00,37.598442,-121.897921
2021-07-15 00:05:22+00:00,37.598443,-121.897936
2021-07-15 00:05:23+00:00,37.59844,-121.897949
2021-07-15 00:05:24+00:00,37.598437,-121.897959
2021-07-15 00:05:25+00:00,37.598434,-121.897971
2021-07-15 00:05:26+00:00,37.598433,-121.897981
2021-07-15 00:05:27+00:00,37.598432,-121.897992
2021-07-15 00:05:28+00:00,37.598431,-121.898001
2021-07-15 00:05:29+00:00,37.598431,-121.898011
2021-07-15 00:05:30+00:00,37.598435,-121.898017
2021-07-15 00:05:31+00:00,37.598438,-121.898029
2021-07-15 00:05:32+00:00,37.598438,-121.898037
2021-07-15 00:05:33+00:00,37.598432,-121.898063
2021-07-15 00:05:34+00:00,37.598427,-121.898073
2021-07-15 00:05:35+00:00,37.598422,-121.898085
2021-07-15 00:05:36+00:00,37.59842,-121.898098
2021-07-15 00:05:37+00:00,37.598416,-121.898111
2021-07-15 00:05:38+00:00,37.598413,-121.898128
2021-07-15 00:05:39+00:00,37.598414,-121.898144
2021-07-15 00:05:40+00:00,37.598411,-121.898163
2021-07-15 00:05:41+00:00,37.598408,-121.898182
2021-07-15 00:05:42+00:00,37.598403,-121.898197
2021-07-15 00:05:43+00:00,37.5984,-121.898213
2021-07-15 00:05:44+00:00,37.598397,-121.898229
2021-07-15 00:05:45+00:00,37.598394,-121.898245
2021-07-15 00:05:46+00:00,37.598391,-121.898259
2021-07-15 00:05:47+00:00,37.598389,-121.898275
2021-07-15 00:05:48+00:00,37.598386,-121.89829
2021-07-15 00:05:49+00:00,37.598384,-121.898303
2021-07-15 00:05:50+00:00,37.598381,-121.898316
2021-07-15 00:05:51+00:00,37.598378,-121.898334
2021-07-15 00:05:52+00:00,37.598377,-121.898348
2021-07-15 00:05:53+00:00,37.598373,-121.898361
2021-07-15 00:05:54+00:00,37.598371,-121.898376
2021-07-15 00:05:55+00:00,37.598369,-121.898389
2021-07-15 00:05:56+00:00,37.598363,-121.898401
2021-07-15 00:05:57+00:00,37.598362,-121.898411
2021-07-15 00:05:58+00:00,37.598361,-121.898423
2021-07-15 00:05:59+00:00,37.598362,-121.898436
2021-07-15 00:06:00+00:00,37.598363,-121.898451
2021-07-15 00:06:01+00:00,37.598362,-121.898467
2021-07-15 00:06:02+00:00,37.598362,-121.89848
2021-07-15 00:06:03+00:00,37.598359,-121.898493
2021-07-15 00:06:04+00:00,37.598356,-121.89851
2021-07-15 00:06:05+00:00,37.598355,-121.898528
2021-07-15 00:06:06+00:00,37.598353,-121.898542
2021-07-15 00:06:08+00:00,37.598359,-121.898573
2021-07-15 00:06:09+00:00,37.598359,-121.898587
2021-07-15 00:06:10+00:00,37.598358,-121.898602
2021-07-15 00:06:11+00:00,37.598355,-121.898616
2021-07-15 00:06:12+00:00,37.598351,-121.898628
2021-07-15 00:06:13+00:00,37.598348,-121.898642
2021-07-15 00:06:14+00:00,37.598347,-121.898657
2021-07-15 00:06:15+00:00,37.598347,-121.898672
2021-07-15 00:06:16+00:00,37.598347,-121.898687
2021-07-15 00:06:17+00:00,37.598345,-121.898704
2021-07-15 00:06:18+00:00,37.598344,-121.898719
2021-07-15 00:06:19+00:00,37.598344,-121.898732
2021-07-15 00:06:20+00:00,37.598341,-121.898747
2021-07-15 00:06:21+00:00,37.598339,-121.898761
2021-07-15 00:06:22+00:00,37.598338,-121.898773
2021-07-15 00:06:23+00:00,37.598334,-121.898788
2021-07-15 00:06:24+00:00,37.598334,-121.898805
2021-07-15 00:06:25+00:00,37.598334,-121.898822
2021-07-15 00:06:26+00:00,37.598333,-121.898835
2021-07-15 00:06:27+00:00,37.598333,-121.898849
2021-07-15 00:06:28+00:00,37.598335,-121.898863
2021-07-15 00:06:29+00:00,37.598335,-121.898877
2021-07-15 00:06:30+00:00,37.598337,-121.898893
2021-07-15 00:06:31+00:00,37.598339,-121.898908
2021-07-15 00:06:32+00:00,37.59834,-121.898918
2021-07-15 00:06:33+00:00,37.598342,-121.898929
2021-07-15 00:06:34+00:00,37.598344,-121.898943
2021-07-15 00:06:35+00:00,37.598344,-121.89896
2021-07-15 00:06:36+00:00,37.598347,-121.898977
2021-07-15 00:06:37+00:00,37.598352,-121.89899
2021-07-15 00:06:38+00:00,37.598358,-121.899005
2021-07-15 00:06:39+00:00,37.598364,-121.899018
2021-07-15 00:06:40+00:00,37.598368,-121.89903
2021-07-15 00:06:41+00:00,37.598372,-121.899043
2021-07-15 00:06:42+00:00,37.598377,-121.899057
2021-07-15 00:06:43+00:00,37.598383,-121.899071
2021-07-15 00:06:44+00:00,37.598388,-121.899083
2021-07-15 00:06:45+00:00,37.598398,-121.899093
2021-07-15 00:06:46+00:00,37.598406,-121.899102
2021-07-15 00:06:47+00:00,37.598412,-121.899109
2021-07-15 00:06:48+00:00,37.598419,-121.899118
2021-07-15 00:06:49+00:00,37.598427,-121.89913
2021-07-15 00:06:50+00:00,37.598435,-121.89914
2021-07-15 00:06:51+00:00,37.598442,-121.899148
2021-07-15 00:06:52+00:00,37.598443,-121.899148
2021-07-15 00:06:53+00:00,37.598442,-121.899152
2021-07-15 00:06:54+00:00,37.598449,-121.899156
2021-07-15 00:06:55+00:00,37.598451,-121.89916
2021-07-15 00:06:56+00:00,37.598451,-121.89916
2021-07-15 00:06:57+00:00,37.598452,-121.899163
2021-07-15 00:06:58+00:00,37.598458,-121.899168
2021-07-15 00:06:59+00:00,37.598467,-121.899173
2021-07-15 00:07:00+00:00,37.598475,-121.899177
2021-07-15 00:07:01+00:00,37.598482,-121.899184
2021-07-15 00:07:02+00:00,37.598488,-121.899193
2021-07-15 00:07:03+00:00,37.598494,-121.899196
2021-07-15 00:07:04+00:00,37.598502,-121.899205
2021-07-15 00:07:05+00:00,37.59851,-121.899213
2021-07-15 00:07:06+00:00,37.59852,-121.899222
2021-07-15 00:07:07+00:00,37.598525,-121.899228
2021-07-15 00:07:08+00:00,37.598532,-121.899234
2021-07-15 00:07:09+00:00,37.59854,-121.899241
2021-07-15 00:07:10+00:00,37.598549,-121.89925
2021-07-15 00:07:11+00:00,37.598557,-121.899257
2021-07-15 00:07:12+00:00,37.598568,-121.899263
2021-07-15 00:07:13+00:00,37.598576,-121.899272
2021-07-15 00:07:14+00:00,37.598584,-121.89928
2021-07-15 00:07:15+00:00,37.598592,-121.899291
2021-07-15 00:07:16+00:00,37.598604,-121.899298
2021-07-15 00:07:17+00:00,37.598613,-121.899307
2021-07-15 00:07:18+00:00,37.598619,-121.899316
2021-07-15 00:07:19+00:00,37.598627,-121.899322
2021-07-15 00:07:20+00:00,37.598633,-121.899331
2021-07-15 00:07:21+00:00,37.598643,-121.899341
2021-07-15 00:07:22+00:00,37.598653,-121.89935
2021-07-15 00:07:23+00:00,37.598663,-121.89936
2021-07-15 00:07:24+00:00,37.598671,-121.899368
2021-07-15 00:07:25+00:00,37.59868,-121.899374
2021-07-15 00:07:26+00:00,37.598689,-121.899378
2021-07-15 00:07:27+00:00,37.598701,-121.899384
2021-07-15 00:07:28+00:00,37.598713,-121.899391
2021-07-15 00:07:29+00:00,37.598729,-121.899392
2021-07-15 00:07:30+00:00,37.598742,-121.899394
2021-07-15 00:07:31+00:00,37.598754,-121.899396
2021-07-15 00:07:32+00:00,37.598763,-121.8994
2021-07-15 00:07:33+00:00,37.598774,-121.899402
2021-07-15 00:07:34+00:00,37.598786,-121.899402
2021-07-15 00:07:35+00:00,37.598801,-121.899403
2021-07-15 00:07:36+00:00,37.598815,-121.899405
2021-07-15 00:07:37+00:00,37.598826,-121.899407
2021-07-15 00:07:38+00:00,37.598839,-121.89941
2021-07-15 00:07:39+00:00,37.598851,-121.899411
2021-07-15 00:07:40+00:00,37.598862,-121.899413
2021-07-15 00:07:41+00:00,37.598873,-121.899414
2021-07-15 00:07:42+00:00,37.598883,-121.899416
2021-07-15 00:07:43+00:00,37.598895,-121.899418
2021-07-15 00:07:44+00:00,37.598905,-121.899421
2021-07-15 00:07:45+00:00,37.598918,-121.899422
2021-07-15 00:07:46+00:00,37.598929,-121.899426
2021-07-15 00:07:47+00:00,37.59894,-121.899428
2021-07-15 00:07:48+00:00,37.598953,-121.899432
2021-07-15 00:07:49+00:00,37.598966,-121.899434
2021-07-15 00:07:50+00:00,37.598977,-121.899435
2021-07-15 00:07:51+00:00,37.598987,-121.899443
2021-07-15 00:07:52+00:00,37.598998,-121.899452
2021-07-15 00:07:53+00:00,37.599008,-121.899461
2021-07-15 00:07:54+00:00,37.599018,-121.899468
2021-07-15 00:07:55+00:00,37.599026,-121.899477
2021-07-15 00:07:56+00:00,37.599032,-121.899488
2021-07-15 00:07:57+00:00,37.59904,-121.899497
2021-07-15 00:07:58+00:00,37.59905,-121.899507
2021-07-15 00:07:59+00:00,37.599059,-121.89952
2021-07-15 00:08:00+00:00,37.599069,-121.899532
2021-07-15 00:08:01+00:00,37.599078,-121.899544
2021-07-15 00:08:02+00:00,37.599084,-121.899555
2021-07-15 00:08:03+00:00,37.599092,-121.899565
2021-07-15 00:08:04+00:00,37.599101,-121.899573
2021-07-15 00:08:05+00:00,37.599108,-121.899581
2021-07-15 00:08:06+00:00,37.599114,-121.899596
2021-07-15 00:08:07+00:00,37.599121,-121.899609
2021-07-15 00:08:08+00:00,37.599126,-121.899621
2021-07-15 00:08:09+00:00,37.599132,-121.899634
2021-07-15 00:08:10+00:00,37.59914,-121.899647
2021-07-15 00:08:11+00:00,37.599146,-121.899656
2021-07-15 00:08:12+00:00,37.599153,-121.899664
2021-07-15 00:08:13+00:00,37.599158,-121.899673
2021-07-15 00:08:14+00:00,37.599165,-121.899685
2021-07-15 00:08:15+00:00,37.599171,-121.899699
2021-07-15 00:08:16+00:00,37.599176,-121.899713
2021-07-15 00:08:17+00:00,37.599181,-121.899728
2021-07-15 00:08:18+00:00,37.599185,-121.899743
2021-07-15 00:08:19+00:00,37.59919,-121.899758
2021-07-15 00:08:20+00:00,37.599196,-121.899773
2021-07-15 00:08:21+00:00,37.599202,-121.899787
2021-07-15 00:08:22+00:00,37.599208,-121.899798
2021-07-15 00:08:23+00:00,37.599212,-121.899812
2021-07-15 00:08:24+00:00,37.599218,-121.899827
2021-07-15 00:08:25+00:00,37.599224,-121.899843
2021-07-15 00:08:26+00:00,37.599227,-121.89986
2021-07-15 00:08:27+00:00,37.599233,-121.899875
2021-07-15 00:08:28+00:00,37.599238,-121.899887
2021-07-15 00:08:29+00:00,37.599243,-121.8999
2021-07-15 00:08:30+00:00,37.599245,-121.899914
2021-07-15 00:08:31+00:00,37.599249,-121.899928
2021-07-15 00:08:32+00:00,37.599252,-121.899943
2021-07-15 00:08:33+00:00,37.599253,-121.899959
2021-07-15 00:08:34+00:00,37.599255,-121.899971
2021-07-15 00:08:35+00:00,37.599258,-121.899987
2021-07-15 00:08:36+00:00,37.599262,-121.900004
2021-07-15 00:08:37+00:00,37.599264,-121.900018
2021-07-15 00:08:38+00:00,37.599266,-121.900031
2021-07-15 00:08:39+00:00,37.59927,-121.900047
2021-07-15 00:08:40+00:00,37.599272,-121.900062
2021-07-15 00:08:41+00:00,37.599275,-121.900077
2021-07-15 00:08:42+00:00,37.599279,-121.900091
2021-07-15 00:08:43+00:00,37.599285,-121.900104
2021-07-15 00:08:44+00:00,37.599289,-121.900116
2021-07-15 00:08:45+00:00,37.59929,-121.90013
2021-07-15 00:08:46+00:00,37.599293,-121.900144
2021-07-15 00:08:47+00:00,37.599298,-121.900158
2021-07-15 00:08:48+00:00,37.599301,-121.900171
